COLUMN1,COLUMN2,COLUMN3,COLUMN4,COLUMN5,COLUMN6,COLUMN7,COLUMN8,COLUMN9,COLUMN10,COLUMN11,COLUMN12,COLUMN13,COLUMN14,COLUMN15,COLUMN16,COLUMN17,COLUMN18,COLUMN19,COLUMN20,COLUMN21,COLUMN22,COLUMN23,COLUMN24,COLUMN25,COLUMN26,COLUMN27,COLUMN28,COLUMN29,COLUMN30,COLUMN31,COLUMN32,COLUMN33,COLUMN34,COLUMN35,COLUMN36,COLUMN37,COLUMN38,COLUMN39,COLUMN40,COLUMN41,COLUMN42,COLUMN43,COLUMN44,COLUMN45,COLUMN46,COLUMN47,COLUMN48,COLUMN49,COLUMN50,COLUMN51,COLUMN52,COLUMN53,COLUMN54,COLUMN55,COLUMN56,COLUMN57,COLUMN58,COLUMN59,COLUMN60,COLUMN61,COLUMN62,COLUMN63,COLUMN64,COLUMN65,COLUMN66,COLUMN67,COLUMN68,COLUMN69,COLUMN70,COLUMN71,COLUMN72,COLUMN73,COLUMN74,COLUMN75,COLUMN76,COLUMN77,COLUMN78,COLUMN79,COLUMN80,COLUMN81,COLUMN82,COLUMN83,COLUMN84,COLUMN85,COLUMN86,COLUMN87,COLUMN88,COLUMN89,COLUMN90,COLUMN91,COLUMN92,COLUMN93,COLUMN94,COLUMN95,COLUMN96,COLUMN97,COLUMN98,COLUMN99,COLUMN100,COLUMN101,COLUMN102,COLUMN103,COLUMN104,COLUMN105,COLUMN106,COLUMN107,COLUMN108,COLUMN109,COLUMN110,COLUMN111,COLUMN112,COLUMN113,COLUMN114,COLUMN115,COLUMN116,COLUMN117,COLUMN118,COLUMN119,COLUMN120,COLUMN121,COLUMN122,COLUMN123,COLUMN124,COLUMN125,COLUMN126,COLUMN127,COLUMN128,COLUMN129,COLUMN130,COLUMN131,COLUMN132,COLUMN133,COLUMN134,COLUMN135,COLUMN136,COLUMN137,COLUMN138,COLUMN139,COLUMN140,COLUMN141,COLUMN142,COLUMN143,COLUMN144,COLUMN145,COLUMN146,COLUMN147,COLUMN148,COLUMN149,COLUMN150,COLUMN151,COLUMN152
Other,-93.5625537,158.1481422,-4.227614232,-9.234682697,3.402170101,-2.300618687,-43.1603349,13.49714183,53.55298982,-24.05063652,-56.22136172,44.05206624,-11.8581125,3.823691345,-17.47335778,21.24595684,-43.00317982,19.2544779,-6.728801976,-14.14639293,42.4535944,-31.0183186,57.24594766,-2.747370296,0.248181882,12.233047,-5.222017946,54.88372792,-1.304617835,37.02852779,-6.719376129,12.25197109,9.274608302,-2.405287763,14.95269674,32.81658913,-22.53125299,0.585716344,-9.482913719,-43.87827759,-28.35105882,-28.66059302,-0.203167112,29.212106,-23.3834606,-70.27785423,-12.93095918,-28.76365787,25.36913741,-18.75264567,29.44207519,-4.147598061,-10.35701855,27.09149406,-42.89981069,-23.56038578,-3.753841164,-11.03014715,36.39838613,-8.302782092,16.39393439,-26.19876485,27.97019448,-16.80005827,-16.40307667,-36.267192,-31.38301071,-30.99161038,-36.85303498,12.56503238,-41.87968794,7.696646961,6.108862343,-41.21680771,24.85302137,155.1489024,44.96846891,80.49152393,-14.64464578,0.31586861,38.25058813,48.62673188,10.38619591,-30.794045,-5.869164726,13.27003706,35.60546445,-15.74499772,-18.70496505,-7.663725084,13.69921937,19.71713508,-63.86186608,2.220572707,-22.2594022,-12.23667714,-7.414508,4.302584598,-21.28038122,-1.872240711,3.046847261,-15.86317779,-11.7177475,-14.07557407,-8.761996815,1.239024079,-15.84728961,-12.44696616,-1.051539872,-3.423974799,-1.63579321,-3.746846046,-8.442265362,-0.979563905,-2.832416659,-4.639300377,5.331065711,24.04577668,6.211576953,3.662957263,-3.053512505,-3.063552808,-7.372083806,-2.473727086,6.976108136,-3.984871938,17.23328192,10.80213387,9.160174264,1.204909643,12.34870672,-18.6276278,12.27405381,13.95157884,-0.305639555,-8.000685241,-5.891351165,-1.377312333,1.556197108,-14.24207737,-0.216294509,-9.248290723,-5.840274845,-5.966494813,9.675331109,5.157665627,10.87793043,6.181447773,6.058667287,0.7653275,-15.71371217
Other,-278.6487172,-41.90617055,5.877705015,6.392366763,6.608470871,31.32483828,6.421149731,19.57858368,-35.87488923,60.4909863,-13.18159919,-20.62745972,12.97928847,24.44826555,-23.83288378,21.25477415,5.510884153,17.88564616,9.205474379,-5.268427058,11.23166509,18.34176485,18.99381409,-2.680610132,51.00489249,30.4337366,30.05151307,42.66684192,-14.85275952,7.762938624,18.20016443,-23.14433837,52.67052005,31.79567431,45.73919778,-24.5313228,-5.881247315,22.49303047,-21.67077046,0.974167365,16.05571904,16.15827866,-13.11135205,-2.465483781,-2.537625318,10.38720807,8.331712526,-1.117090368,-1.069899295,31.48757356,-9.216212243,-31.52569223,23.54769508,-14.75446575,6.717576461,5.685333938,22.01487541,-4.222900779,-15.58063163,24.45721163,-2.561853431,-22.30031208,0.946689621,8.427167198,25.58554256,-19.48442785,52.48063675,45.30820469,56.05060508,20.28691778,-92.89213571,7.357284917,13.28765217,-22.03049866,-30.7102727,-72.598837,17.44960683,15.26816854,58.18517654,52.86212753,37.78607558,-64.52502231,29.93204566,-8.247054912,19.04876441,34.58354957,37.17620313,25.55648536,-18.07259719,-13.93939339,7.425093905,26.94089444,21.55098271,-49.77178752,6.080404329,-28.48444404,47.17781829,15.77892847,23.84504081,9.180372596,-51.44788071,6.953911802,10.31498417,-44.81459034,-60.32439674,-9.755794504,29.70735627,-25.16131132,-28.55837506,56.88472044,-28.80652851,25.7581511,1.652113668,25.57119543,-14.31387462,-5.186815724,21.66389052,2.481868535,-12.15851371,-23.0570635,6.362254765,-12.89416044,-3.398065909,11.1820093,25.58326532,-4.033968451,-2.023416372,11.07037515,9.012709986,7.243268945,13.00640897,3.604505429,0.697285492,-15.24040166,-4.428094467,7.889926556,4.487401774,-3.684374661,12.8395588,15.82824326,-8.804358818,3.792318688,-15.19804318,-7.927038212,-0.86079,-0.083279533,3.533392492,3.583434789,-0.18984706,-0.508273587,-2.575464073
Other,-0.010552397,-0.003655855,-0.043379321,-0.050190141,-0.000309817,-0.064935167,-0.040833887,-0.016352151,-0.034720343,-0.028617211,-0.013529614,-0.055971152,-0.032308543,-0.042377851,-0.028164732,-0.015881451,-0.021530326,-0.151730679,-0.000327575,0.073205288,-0.084446473,0.01408493,0.222039069,0.134920611,0.350581864,0.548439617,0.713732434,0.286008283,1.41144709,-1.811967008,4.396523649,-0.937792295,3.291549894,1.412856381,0.125055246,-1.687897718,-0.251484084,3.441155051,-1.069721528,3.676268128,1.351621617,-2.319629776,6.510577533,3.689341083,-5.927753927,4.045190592,-5.251340775,-14.71765413,0.93489056,-1.127507316,14.03068644,3.337784991,-9.13945913,6.845018533,-11.92738724,20.15107384,-2.282615975,22.1739794,1.081198716,22.29134167,26.39058284,-25.08306469,-13.47492907,9.426169097,-14.19627734,54.52814022,-61.39957425,5.752282028,21.71020348,56.78253909,-55.56211188,-3.087199026,-12.08377449,70.00910281,-35.96630719,93.0737146,15.21620555,-10.94867392,14.56524117,-21.22796702,9.123045278,-4.361356912,29.94157045,-23.27863597,19.08978126,17.58060684,-45.85502454,4.150887785,-14.47940738,-5.447536454,33.6644316,-24.40309828,10.22863962,17.73571405,-2.198221854,22.4846233,7.587044419,-13.58212446,10.60740052,-9.142666285,-8.589825569,-2.08040944,-12.08182821,0.154955108,-1.234999513,3.560690237,-2.560934506,-4.686685237,-3.089972035,6.288270601,-5.864029794,7.207822355,-2.244673841,-1.974622631,4.058380428,0.868660563,-6.209895333,8.159812755,-5.264743651,-7.43967691,-4.226341167,2.306932117,3.524992644,5.277567376,-0.519918352,-6.936825141,3.067500827,2.607612864,-3.934126585,-1.228513592,1.978681578,0.305717119,5.958950126,-4.62830126,-0.958541369,2.512843472,5.313834995,-0.16193814,1.73210755,3.715292499,-3.102414132,-2.166362762,2.354949985,2.125427042,1.454400459,-2.089530355,-0.195431658,-0.667261621,-3.271217267,2.956853401,-0.021917791
Other,0.081999291,-0.379093308,-0.486601318,-0.416059985,0.310006568,0.882266991,-1.872927641,1.740553453,-2.066840842,-2.035192537,0.485565586,-0.998879018,-1.994776222,0.530535422,-1.370436344,-0.605695534,-0.012105533,-2.490355021,1.668472592,0.520279944,-1.187745296,0.141087259,-0.474980809,0.107781023,-0.579307756,3.947194942,2.873666797,6.019192312,-4.864345368,1.82644882,-1.650214877,-2.935344247,-3.159591016,2.834680441,1.419400668,1.654335626,-2.245406185,0.682481514,11.73516303,12.04840235,-18.32530339,1.528341658,-5.245524456,7.436082917,-0.675506239,4.221885778,-14.18665227,-5.103641638,-14.03895694,-19.44050925,-16.9249836,-0.194050958,12.52699927,14.88549108,26.598497,6.207080452,0.841623561,-6.548354583,3.090319629,-3.301267962,18.3344141,14.61601052,-0.304585333,7.195866733,-6.495075708,6.098075218,-7.308449625,-8.566598145,46.00088163,-32.7598321,-21.8306673,4.153166436,-8.295660942,27.01984999,-29.63788998,48.94818646,4.324119187,-42.32224687,-50.52053315,-8.450281261,2.753054194,-60.47950092,51.85548115,-18.7657107,-60.67685021,14.46586128,3.115674137,4.378105107,-18.9877031,-6.513615397,63.17066895,-68.02002859,22.69757099,33.80588034,-25.06060339,13.9449794,-7.355117345,9.508003969,-55.0195574,-84.99397831,21.0906279,85.68673866,13.47321221,54.09287132,-37.57880309,-36.44698363,-3.7347764,-17.58107986,-22.55988156,-2.610145804,2.89710041,-14.76260748,2.131321047,28.63992365,18.8307394,8.448393418,-10.22664817,-17.05144067,18.2894443,-10.18313059,-18.45735658,-11.23873602,-11.44387493,20.03173134,6.927628221,-1.020312078,5.799333126,-11.3199264,-6.454229484,-4.235224984,4.800672921,14.14427522,-14.78102852,0.791720492,6.358378452,4.676942553,-3.503595304,1.129159873,1.992062608,-4.361194512,-2.967591666,2.657446118,5.292759698,-1.814199037,2.450633634,-1.834791925,1.953780149,-4.521106299,0.451904302,-2.442096172,0.943491385
Other,-5.787676968,-0.363697005,2.336301632,1.987178946,0.620883701,-0.053806095,-0.168789502,0.644747409,-2.426786354,5.991789888,-0.604410624,8.186875657,3.96449993,1.994481468,-0.361870448,2.948409088,0.198526811,0.57845555,0.236627494,-2.735134063,1.9410051,-1.698867869,-0.817263482,2.644089139,0.90576956,5.428835175,-0.254920024,3.224086332,-1.232075139,1.59637118,0.661945367,-2.501917422,5.080491193,-1.244306245,4.579435489,-1.657458202,5.978847216,2.655326737,1.333808422,-4.268465431,-3.241187824,-16.19817858,40.66735519,11.29703943,-10.83186025,22.60708117,-41.10371991,-56.3465942,-16.01643998,0.870980417,-19.79346766,11.23055294,-13.26795184,18.99189324,-41.47469668,12.3272148,4.076852737,-0.903601844,-4.787791744,-21.90509723,9.756641665,-29.19394593,16.14497556,21.40643629,6.768733881,-39.71015939,11.00755155,-2.431914118,21.12223367,-23.52698646,-79.29070682,-54.70810944,3.319748503,-37.88681793,-22.96843337,-14.96737461,-8.113807872,-37.09600951,-2.484039448,4.906482143,-0.689415116,2.634009803,-9.842960629,27.00713861,-15.53926975,10.3209178,-8.687166808,-0.497122039,9.622031733,-14.49264467,-2.684735867,-9.678468084,-3.386717155,1.355061263,18.92599233,9.748325514,-6.0818553,12.64387123,2.385787015,-11.45294604,6.3658915,1.643511995,2.846140626,-11.79469703,-0.304960821,-0.973824859,-2.817415599,-6.206963148,5.607122921,-0.93686637,2.075542911,-2.301712617,-0.600650272,3.900138212,-5.534417782,5.482830991,-0.384191412,-1.382908278,0.373890491,-6.007428117,-2.897287428,-0.218282931,1.99748127,-1.784912397,-3.428427589,0.140425607,-2.274198573,-0.920326131,-0.374570118,0.367612278,-2.249964504,0.370949653,1.962379286,2.518224482,1.67139952,-1.92455661,4.6779638,1.096332339,-1.380131574,-0.67416266,-1.717385102,1.132106623,-0.166193004,0.356559694,-0.616091784,-0.326029853,0.525273741,0.431106902,-0.042947522,-1.53248334,0.054019542
Other,-0.002508921,-0.014127421,0.014902412,0.005819739,0.013418933,0.001369557,-0.022598618,-0.004847698,-0.062768179,0.05329548,-1.050787727,5.1407776,3.112930809,5.418624083,0.520357809,-2.961247329,-0.028658483,1.337492734,-4.071709795,-2.145361305,1.77953527,-1.453400839,4.486132445,-2.734481437,0.022295135,-4.89052863,6.708909892,5.062439699,4.837339247,2.740032662,-8.871565369,3.693227808,9.154396588,-10.46686135,-2.874384513,10.0010236,-2.815502403,3.084887776,-10.39193791,-10.41210608,0.996484241,-10.24976555,12.10478726,0.169959471,24.38719997,-12.72416656,3.160020756,-4.79813698,-13.20130517,3.299225284,-14.00042036,-30.8334107,-30.87531306,25.18014934,-49.39439619,23.83125304,-10.53665453,57.4413528,-48.92957752,37.90420882,-31.52906606,37.53014132,15.97545124,-65.1531826,11.94414003,-76.50708264,24.60794108,-9.02935023,-14.87674924,102.0631913,-44.1512224,35.49980164,8.749595986,51.22092238,7.983249559,-20.58900312,95.79409385,14.67005244,16.58653062,-12.87009402,-33.88517863,28.09886165,-16.10071853,-17.22286112,14.4210404,-31.4803929,-46.68001961,-8.872742689,20.81579534,6.011211109,-2.440611067,11.43780014,-6.798774973,5.448336433,-9.232163845,-9.151932274,0.998109836,16.61632512,7.462000307,-1.438494067,3.796523013,1.132547068,-4.777152269,-2.143916422,2.713231154,-5.241317348,-0.789524543,0.40724319,3.364773495,3.482715777,-6.594381086,2.319140069,0.035155555,-0.546376595,0.975385187,-5.627883655,-1.794031979,0.420785183,0.148962237,-0.316815557,-0.4160769,-0.914538496,-1.339948843,-0.140909821,-0.59854982,1.308659639,0.329664999,0.427364565,1.600283578,1.723361254,0.900108453,0.300491176,-0.890540681,1.502645114,0.379901806,0.895303407,-0.952252998,2.367301758,-0.140487157,0.829192062,-0.401784097,-0.913142647,0.320769837,0.483044571,-0.736271989,0.633555611,-0.81923281,-0.2423518,-0.14766183,-1.523396677,-0.716854421
Other,39.97158215,43.84420053,-12.48437374,-1.578731237,0.476274844,1.36271579,0.747383363,-7.305144914,-8.955815372,-3.61020411,-1.707867822,0.6288572,1.415592889,-2.243077124,2.303897289,-0.272524086,-0.242572872,-0.186804131,0.088887776,-0.445375622,0.209135386,-1.928766694,0.282777995,-1.713275019,1.467196292,-1.257588677,1.739521654,-1.291011588,0.825552068,1.652425741,1.375151203,-1.331235354,0.055617121,0.856886727,2.129248436,0.022675307,0.893979849,2.414564542,0.284341879,-2.909049788,4.825577673,-2.278063637,0.795716955,0.888475475,-0.122390663,1.092953036,-0.80138606,-1.039698071,-1.975427677,-1.467913652,32.69260037,-16.87353002,22.25553339,-33.47802209,4.555163803,-1.257200065,-13.60623219,33.92837802,4.388434033,-21.03086404,12.9999933,7.644271239,-16.82914146,-12.42097909,-9.86187781,-11.41339357,-13.81678171,-17.54893765,6.036942641,-22.16874298,-1.167534124,-9.740761158,3.048784192,5.508382801,-0.11455359,-19.71206502,-29.04491094,5.126862257,5.725403075,-12.72937646,-29.98624081,40.20080123,-3.44337132,9.449769549,1.868608068,-14.90819658,-7.686554478,-15.7280023,-18.44039699,1.418859595,10.79207669,20.67713413,-4.99497549,1.278040361,9.674686013,-15.55697648,-24.62004614,18.23250106,-18.97039121,2.545377468,8.955445734,-16.45480717,-8.580878893,10.66434474,15.8508376,-31.85580064,-16.99328361,22.85484607,15.86546551,-33.382958,-3.918133497,72.32984281,-39.20365442,2.549326163,17.70362668,55.20320735,15.97679903,17.18279,4.489853851,-264.5071433,-14.40762841,-77.55823707,15.10401012,-53.05974301,117.8207725,4.259445478,-78.61173436,63.65600064,11.87415987,8.577921866,-21.13718567,-38.89558725,3.256349611,7.614235848,31.13487837,-19.09374527,-39.25875963,3.831581483,3.74897078,3.568175284,-8.220717096,21.14242089,-5.642015091,3.816764245,-12.83827675,-2.498341128,0.304024153,-6.813144343,-0.201560826,7.575397176,5.871916388
Other,16.07724236,-8.158357582,3.921461065,-6.429829961,-3.586528964,-4.287318166,-0.930667376,0.56728966,0.198330282,-4.552324901,3.000289904,2.954888409,-2.360360895,2.079092495,2.350044943,0.113243099,-3.832950928,-1.438550193,-1.547844717,1.237311134,0.680750221,-1.357477876,2.924913887,2.583404851,-1.550462044,0.918001597,-5.655407122,-1.662959754,-4.310600708,3.792904461,-4.933840392,-1.673169123,3.783559183,-3.676053128,-3.068720124,-18.89826543,2.960007108,-20.41353001,-29.44898259,4.506476217,-22.736137,-10.08396797,-13.11063981,-7.103712152,9.916143589,4.351212498,-17.79564375,1.977909366,5.826724729,-0.417482266,6.406887414,-6.212229287,2.505450837,-5.099301404,12.73372174,1.662285659,-0.925778799,4.736773841,3.697460894,24.38371655,6.308803396,38.43364597,-3.913255543,18.94244678,-5.051898502,-0.453861629,-2.668155865,9.625387763,7.132773154,-0.877020291,-0.874884116,2.461497372,3.9079913,0.638819122,-2.78235304,-5.623230241,-22.06220431,25.37007493,-5.77261735,2.277237512,-1.112721267,21.32958709,-16.30166113,-15.67995953,-31.37858933,-8.881998807,12.67930019,-15.39058236,-33.40271486,12.49427504,-0.350109293,12.0909688,-2.01734108,23.78292933,-3.027833959,-2.440526446,4.209388144,4.877367487,-19.94970487,18.22757892,-16.32448795,55.20854007,-40.02578664,10.58711724,2.702739204,-0.829363118,-48.30878308,-21.10450971,0.195190992,-32.32938818,-43.21271774,-124.3305057,-47.08132495,-85.32219942,7.407842282,-16.60290349,-105.5978818,33.39215701,31.77575501,27.59861029,67.69644559,28.14016345,13.78950786,16.83528263,24.13337559,-22.14164893,-13.56163601,-35.80871849,20.10571455,19.1194037,10.46686669,-53.31021395,21.67386327,-42.79005041,-33.91901946,-12.09245866,15.72364076,12.27773646,6.99369803,11.96022853,-1.327795385,15.14149743,11.19259401,44.05032022,-63.81049256,7.31715503,-3.922743622,43.31342626,0.56176053,-2.583839126,-11.2260072
Other,-35.33207712,114.9974618,46.45260897,-45.4078943,-38.88117801,-12.66122528,-6.686033373,-3.043223607,12.37598992,-10.57831821,5.52435979,11.26560207,0.934167395,-4.133296274,2.915994817,6.512685078,11.02011933,-1.960459223,-0.796071648,-0.756956319,3.930099857,-11.56308675,-2.124043418,-5.23653517,0.916017184,4.289222402,-1.888536293,6.334777044,-6.03301401,2.267102465,1.718171651,6.515431256,2.368007681,17.08301393,-8.721509168,0.315264487,-8.354058584,39.26920898,-8.901934586,10.05304551,2.524959299,7.646762638,10.31954352,-17.05995472,4.155649152,11.20801876,3.232188829,0.248223575,-11.90144234,0.486932457,1.789279717,-9.805789697,3.68870059,-4.185864317,-0.802555527,-1.122573172,5.969805062,-6.57484008,18.88847356,12.80079252,5.331179883,-24.63235394,2.397244449,-19.8159252,-17.01313887,12.7482098,25.85536266,-40.34675976,37.86189014,46.09500778,36.17320748,58.79784014,-46.1470627,-54.00682024,-9.298485339,10.43061244,19.02264093,-22.37237872,-18.93591424,10.19243836,0.762856992,-3.987211876,21.88874156,2.000122565,-0.13459537,17.26600321,2.228719481,-1.648776001,-1.506003515,-5.738750445,-2.341390437,-2.152837549,-4.163560361,-1.095951341,-1.194123133,-3.878214813,0.541708114,-10.42998206,6.631033529,3.475285298,-7.358176472,-3.651589934,0.443645902,-4.775386779,1.542234063,0.53398961,-18.37017737,-2.028663107,6.695513007,3.807316948,-0.334201146,10.83378382,-8.47253979,-2.006960519,-2.782689925,-1.418291566,-3.693337329,1.086393511,-1.764902914,-2.662449697,0.852489488,4.297846368,1.263899792,0.844591293,-2.265731124,3.574714383,1.445444741,0.327542194,-2.769216796,1.409077538,1.848877806,0.881004449,1.31469673,2.240392972,0.026543148,-0.474959174,0.263115051,-1.444740259,-0.099407822,2.966273774,-4.306835287,-0.973932962,-3.280259321,0.336855799,0.80481354,0.45147993,-0.884882173,-0.00130213,0.215282863,-2.926661211,-0.706758925
Other,-10.61960381,-18.99480162,-31.59309157,-0.729008455,4.713963305,-18.56577689,10.37147591,-2.55240751,5.22380456,-2.231417268,3.662856843,2.59513154,-3.064605278,1.075837311,3.782904381,-0.237414324,0.857814886,0.678827481,-0.006298917,-1.758362113,-0.330674573,-0.672667006,0.534407265,1.936625477,-1.513665189,-1.331584751,-2.34056243,5.856959872,0.556537796,3.265913401,-3.081018618,-5.315652088,2.28040831,-2.35108707,-2.676778659,-0.343952385,11.14012313,-1.823875578,3.904722415,-10.23008732,-12.36055935,-5.180777941,-16.48500466,13.53120685,16.24226097,17.45148225,11.40653254,-21.1271292,6.723515082,3.790627568,-6.869391623,-3.158433619,-2.499805625,19.22628537,-4.079757368,-28.65595408,26.25228827,-20.67420926,16.2404908,35.03178897,40.2129713,15.86877695,113.9073826,-6.635175285,83.48830855,26.37719624,92.5083936,42.92396899,1.209682018,-4.826063277,145.6054267,103.8507654,27.18878971,19.11486526,-49.95831549,-41.13729891,110.6109231,-17.63014457,99.35653149,32.01778829,-46.17966267,45.30048072,18.4667892,-23.92914044,-7.118716445,6.039281647,-16.13943029,29.1690937,-18.70068184,14.8768486,5.043724102,21.56846647,18.73695375,8.281070488,-5.408049252,-1.465389039,-14.45682711,3.376321221,2.174678995,5.02435724,0.116334767,2.106860772,3.610401435,-0.102254068,1.869962782,-1.131829101,-1.342057482,1.260916344,2.735418378,-1.035124955,-2.449169495,1.820207478,-0.516207559,-1.736817979,2.198014049,-2.878968084,-6.323182702,1.118074702,-0.194806715,-0.121903233,0.710649353,-1.055430326,0.175394008,-3.197271466,0.80007507,-0.159503599,-0.866911002,-0.45566439,-1.245439206,0.153530407,-0.320591572,0.698301454,-0.373560611,0.932945355,0.227797221,-0.138039778,0.045322383,0.921310047,-1.622392903,-0.341299231,0.005800248,-0.062932984,-0.252193157,-0.296401882,-0.825513378,0.060016998,-0.400986296,0.295277338,-0.383270426,1.245957904,0.123342909
